index,scenario,window,min,max,mean
unserved_requests,normal,100,0.0,0.4,0.08
unserved_requests,driver_strike,100,0.0,0.77,0.18
unserved_requests,progressive_greedy,100,0.0,1.33,0.27
unserved_requests,ride_length,100,0.0,0.42,0.07
overhead,normal,100,0.0,2.73,1.62
overhead,driver_strike,100,0.0,3.63,1.69
overhead,progressive_greedy,100,0.0,3.78,1.74
overhead,ride_length,100,0.0,2.79,1.66
price_fluctuation,normal,100,0.0,2.18,1.16
price_fluctuation,driver_strike,100,0.0,2.62,1.19
price_fluctuation,progressive_greedy,100,0.0,5.69,1.29
price_fluctuation,ride_length,100,0.0,2.54,1.25
unserved_requests,normal,200,0.0,0.24,0.07
unserved_requests,driver_strike,200,0.0,0.6,0.18
unserved_requests,progressive_greedy,200,0.0,0.72,0.26
unserved_requests,ride_length,200,0.0,0.21,0.07
overhead,normal,200,0.0,2.39,1.62
overhead,driver_strike,200,0.0,2.88,1.69
overhead,progressive_greedy,200,0.0,3.14,1.75
overhead,ride_length,200,0.0,2.65,1.65
price_fluctuation,normal,200,0.0,1.7,1.17
price_fluctuation,driver_strike,200,0.0,2.12,1.2
price_fluctuation,progressive_greedy,200,0.0,3.88,1.3
price_fluctuation,ride_length,200,0.0,1.97,1.24
unserved_requests,normal,500,0.0,0.16,0.07
unserved_requests,driver_strike,500,0.0,0.37,0.17
unserved_requests,progressive_greedy,500,0.0,0.45,0.24
unserved_requests,ride_length,500,0.0,0.12,0.06
overhead,normal,500,0.0,2.1,1.6
overhead,driver_strike,500,0.0,2.12,1.66
overhead,progressive_greedy,500,0.0,2.69,1.71
overhead,ride_length,500,0.0,2.24,1.62
price_fluctuation,normal,500,0.0,1.5,1.16
price_fluctuation,driver_strike,500,0.0,1.56,1.18
price_fluctuation,progressive_greedy,500,0.0,2.45,1.27
price_fluctuation,ride_length,500,0.0,1.61,1.22
