timestamp,rides_canceled,rides_not_accomplished,rides_completed,rides_accepted,total_rides,unserved_requests_100,unserved_requests_200,unserved_requests_500,overhead_100,overhead_200,overhead_500,price_fluctuation_100,price_fluctuation_200,price_fluctuation_500
819.0,3,5,21,75,33,0.0,0.0,0.08,2.279373713280642,2.1722038203871015,1.6747611674710081,1.7149098428865963,1.615704235461871,1.3203769569899069
820.0,3,5,21,75,33,0.0,0.0,0.08,2.279373713280642,2.1722038203871015,1.6747611674710081,1.7149098428865963,1.615704235461871,1.3203769569899069
821.0,3,5,21,75,33,0.0,0.0,0.08,2.279373713280642,2.1722038203871015,1.6747611674710081,1.7149098428865963,1.615704235461871,1.3203769569899069
822.0,3,5,21,75,33,0.0,0.0,0.08,2.279373713280642,2.1722038203871015,1.6747611674710081,1.7149098428865963,1.615704235461871,1.3203769569899069
823.0,3,5,21,76,32,0.0,0.0,0.08,2.279373713280642,2.1722038203871015,1.6747611674710081,1.7149098428865963,1.615704235461871,1.3203769569899069
824.0,3,5,22,76,33,0.0,0.0,0.07894736842105263,2.1364786426646263,2.0686047531836427,1.6502817120565312,1.5741934071149501,1.5130516475870266,1.2871406569773396
825.0,3,5,23,76,34,0.0,0.0,0.07792207792207792,2.086619980146949,2.033981655621996,1.6519107976195315,1.587205733860632,1.5292564385178502,1.3047129913620679
826.0,3,5,23,76,34,0.0,0.0,0.07792207792207792,2.086619980146949,2.033981655621996,1.6519107976195315,1.587205733860632,1.5292564385178502,1.3047129913620679
827.0,3,5,24,76,35,0.0,0.0,0.07692307692307693,2.0947378507437673,2.0451330748297574,1.6734061263068476,1.7475641078429898,1.6677175247817135,1.3832995114588236
828.0,3,5,24,77,34,0.0,0.0,0.07692307692307693,1.9314299878625825,2.0451330748297574,1.6734061263068476,1.626888852624887,1.6677175247817135,1.3832995114588236
829.0,3,5,24,77,35,0.0,0.0,0.0759493670886076,1.9314299878625825,2.0451330748297574,1.6734061263068476,1.626888852624887,1.6677175247817135,1.3832995114588236
830.0,3,5,24,77,35,0.0,0.0,0.0759493670886076,1.9314299878625825,2.0451330748297574,1.6734061263068476,1.626888852624887,1.6677175247817135,1.3832995114588236
831.0,3,5,24,77,35,0.0,0.0,0.0759493670886076,1.9314299878625825,2.0451330748297574,1.6734061263068476,1.626888852624887,1.6677175247817135,1.3832995114588236
832.0,3,5,24,78,34,0.0,0.0,0.0759493670886076,1.9314299878625825,2.0451330748297574,1.6734061263068476,1.626888852624887,1.6677175247817135,1.3832995114588236
833.0,3,5,24,78,34,0.0,0.0,0.0759493670886076,1.9314299878625825,2.0451330748297574,1.6734061263068476,1.626888852624887,1.6677175247817135,1.3832995114588236
