index,scenario,window,min,max,mean
unserved_requests,normal,100,0.0,0.31,0.08
unserved_requests,driver_strike,100,0.0,0.93,0.28
unserved_requests,progressive_greedy,100,0.0,0.5,0.13
unserved_requests,ride_length,100,0.0,0.45,0.08
unserved_requests,flash_mob,100,0.0,0.75,0.19
unserved_requests,underground,100,0.0,0.75,0.19
overhead,normal,100,0.0,2.78,1.65
overhead,driver_strike,100,0.0,4.57,1.68
overhead,progressive_greedy,100,0.0,3.28,1.66
overhead,ride_length,100,0.0,3.74,1.69
overhead,flash_mob,100,0.0,2.85,1.75
overhead,underground,100,0.0,2.85,1.75
price_fluctuation,normal,100,0.0,1.94,1.19
price_fluctuation,driver_strike,100,0.0,3.22,1.25
price_fluctuation,progressive_greedy,100,0.0,2.82,1.19
price_fluctuation,ride_length,100,0.0,2.26,1.24
price_fluctuation,flash_mob,100,0.0,2.47,1.25
price_fluctuation,underground,100,0.0,2.47,1.25
unserved_requests,normal,200,0.0,0.22,0.08
unserved_requests,driver_strike,200,0.0,0.78,0.27
unserved_requests,progressive_greedy,200,0.0,0.38,0.13
unserved_requests,ride_length,200,0.0,0.25,0.08
unserved_requests,flash_mob,200,0.0,0.45,0.18
unserved_requests,underground,200,0.0,0.45,0.18
overhead,normal,200,0.0,2.36,1.65
overhead,driver_strike,200,0.0,2.64,1.68
overhead,progressive_greedy,200,0.0,2.49,1.68
overhead,ride_length,200,0.0,2.58,1.68
overhead,flash_mob,200,0.0,2.63,1.79
overhead,underground,200,0.0,2.63,1.79
price_fluctuation,normal,200,0.0,1.65,1.19
price_fluctuation,driver_strike,200,0.0,2.3,1.24
price_fluctuation,progressive_greedy,200,0.0,2.12,1.2
price_fluctuation,ride_length,200,0.0,1.76,1.23
price_fluctuation,flash_mob,200,0.0,2.07,1.28
price_fluctuation,underground,200,0.0,2.07,1.28
unserved_requests,normal,500,0.0,0.15,0.07
unserved_requests,driver_strike,500,0.0,0.63,0.25
unserved_requests,progressive_greedy,500,0.0,0.25,0.12
unserved_requests,ride_length,500,0.0,0.14,0.07
unserved_requests,flash_mob,500,0.0,0.33,0.16
unserved_requests,underground,500,0.0,0.33,0.16
overhead,normal,500,0.0,2.1,1.63
overhead,driver_strike,500,0.0,2.09,1.64
overhead,progressive_greedy,500,0.0,2.05,1.63
overhead,ride_length,500,0.0,2.24,1.65
overhead,flash_mob,500,0.0,2.46,1.78
overhead,underground,500,0.0,2.46,1.78
price_fluctuation,normal,500,0.0,1.54,1.18
price_fluctuation,driver_strike,500,0.0,1.61,1.21
price_fluctuation,progressive_greedy,500,0.0,1.6,1.17
price_fluctuation,ride_length,500,0.0,1.55,1.21
price_fluctuation,flash_mob,500,0.0,1.78,1.27
price_fluctuation,underground,500,0.0,1.78,1.27
