timestamp,rides_canceled,rides_not_accomplished,rides_completed,rides_accepted,total_rides,unserved_requests_100,unserved_requests_200,unserved_requests_500,overhead_100,overhead_200,overhead_500,price_fluctuation_100,price_fluctuation_200,price_fluctuation_500
2228.0,11,12,142,192,167,0.0,0.07692307692307693,0.08791208791208792,1.507417512298194,1.8625790385625316,1.898868176870219,1.1599612609876662,1.256253132337745,1.3289091186467696
2229.0,11,12,142,192,167,0.0,0.07692307692307693,0.08791208791208792,1.507417512298194,1.8625790385625316,1.898868176870219,1.1599612609876662,1.256253132337745,1.3289091186467696
2230.0,11,12,142,193,166,0.0,0.07692307692307693,0.08791208791208792,1.507417512298194,1.8625790385625316,1.898868176870219,1.1599612609876662,1.256253132337745,1.3289091186467696
2231.0,11,12,142,193,166,0.0,0.07894736842105263,0.08791208791208792,1.507417512298194,1.8625790385625316,1.898868176870219,1.1599612609876662,1.256253132337745,1.3289091186467696
2232.0,11,12,142,193,166,0.0,0.07894736842105263,0.08791208791208792,1.507417512298194,1.8625790385625316,1.898868176870219,1.1599612609876662,1.256253132337745,1.3289091186467696
2233.0,11,12,142,193,166,0.0,0.07894736842105263,0.08888888888888889,1.507417512298194,1.8807389160360757,1.898868176870219,1.1599612609876662,1.2428676865131603,1.3289091186467696
2234.0,11,12,142,193,166,0.0,0.05405405405405406,0.08888888888888889,1.507417512298194,1.8807389160360757,1.898868176870219,1.1599612609876662,1.2428676865131603,1.3289091186467696
2235.0,11,12,142,193,166,0.0,0.05405405405405406,0.08888888888888889,1.507417512298194,1.8807389160360757,1.886366349634439,1.1599612609876662,1.2428676865131603,1.3192336018655055
2236.0,11,12,142,193,166,0.0,0.05405405405405406,0.08888888888888889,1.507417512298194,1.8807389160360757,1.886366349634439,1.1599612609876662,1.2428676865131603,1.3192336018655055
2237.0,11,12,142,193,166,0.0,0.05555555555555555,0.08888888888888889,1.507417512298194,1.8807389160360757,1.886366349634439,1.1599612609876662,1.2428676865131603,1.3192336018655055
2238.0,11,12,142,193,167,0.0,0.05555555555555555,0.08791208791208792,1.507417512298194,1.8807389160360757,1.886366349634439,1.1599612609876662,1.2428676865131603,1.3192336018655055
2239.0,11,12,142,193,167,0.0,0.05555555555555555,0.08888888888888889,1.507417512298194,1.8807389160360757,1.886366349634439,1.1599612609876662,1.2428676865131603,1.3192336018655055
