timestamp,rides_canceled,rides_not_accomplished,rides_completed,rides_accepted,total_rides,unserved_requests_100,unserved_requests_200,unserved_requests_500,overhead_100,overhead_200,overhead_500,price_fluctuation_100,price_fluctuation_200,price_fluctuation_500
2953.0,15,18,203,249,237,0.1111111111111111,0.15,0.09523809523809523,1.3299440460307674,1.5175166690536044,1.599040829688274,0.977210614287088,1.111096908735458,1.190678829373799
2954.0,15,18,204,249,238,0.1111111111111111,0.12195121951219512,0.09411764705882353,1.339611883874537,1.5139850861518056,1.5953419531570001,0.9913889141548918,1.1120566915223045,1.1893718539978702
2955.0,15,18,204,249,238,0.1111111111111111,0.12195121951219512,0.09411764705882353,1.339611883874537,1.5139850861518056,1.5953419531570001,0.9913889141548918,1.1120566915223045,1.1893718539978702
2956.0,15,18,204,249,238,0.1111111111111111,0.12195121951219512,0.09411764705882353,1.3466410269588596,1.5139850861518056,1.5953419531570001,0.9786608592113758,1.1120566915223045,1.1893718539978702
2957.0,15,18,204,249,238,0.1111111111111111,0.12195121951219512,0.09411764705882353,1.3466410269588596,1.5139850861518056,1.5953419531570001,0.9786608592113758,1.1120566915223045,1.1893718539978702
2958.0,15,18,204,249,238,0.11764705882352941,0.12195121951219512,0.09411764705882353,1.3466410269588596,1.5139850861518056,1.5953419531570001,0.9786608592113758,1.1120566915223045,1.1893718539978702
2959.0,15,18,204,248,238,0.125,0.125,0.09523809523809523,1.3466410269588596,1.5139850861518056,1.5953419531570001,0.9786608592113758,1.1120566915223045,1.1893718539978702
2960.0,15,18,204,248,238,0.125,0.125,0.09523809523809523,1.3761669152213947,1.5139850861518056,1.5953419531570001,0.9749425886001928,1.1120566915223045,1.1893718539978702
2961.0,15,18,204,248,238,0.125,0.125,0.09523809523809523,1.3761669152213947,1.5139850861518056,1.5953419531570001,0.9749425886001928,1.1120566915223045,1.1893718539978702
2962.0,15,18,204,248,238,0.07142857142857142,0.125,0.09523809523809523,1.3761669152213947,1.5139850861518056,1.5953419531570001,0.9749425886001928,1.1120566915223045,1.1893718539978702
