index,scenario,window,min,max,mean
unserved_requests,normal,100,0.0,0.31,0.08
unserved_requests,flash_mob,100,0.0,0.5,0.06
overhead,normal,100,0.0,2.78,1.65
overhead,flash_mob,100,0.0,4.01,1.75
price_fluctuation,normal,100,0.0,1.94,1.19
price_fluctuation,flash_mob,100,0.0,2.66,1.31
unserved_requests,normal,200,0.0,0.22,0.08
unserved_requests,flash_mob,200,0.0,0.22,0.05
overhead,normal,200,0.0,2.36,1.65
overhead,flash_mob,200,0.0,2.98,1.75
price_fluctuation,normal,200,0.0,1.65,1.19
price_fluctuation,flash_mob,200,0.0,2.27,1.31
unserved_requests,normal,500,0.0,0.15,0.07
unserved_requests,flash_mob,500,0.0,0.12,0.05
overhead,normal,500,0.0,2.1,1.63
overhead,flash_mob,500,0.0,2.51,1.72
price_fluctuation,normal,500,0.0,1.54,1.18
price_fluctuation,flash_mob,500,0.0,1.97,1.29
